stock,client_name,exchange,deal_type,action,date,avg_price,quantity,percentage_traded
Eris Lifesciences Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,Purchase,15-07-2024,1000.04,1094201,0.80%
Stanley Lifestyles Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,Purchase,28-06-2024,475,1100000,1.93%
Aster DM Healthcare Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,BSE,Bulk,Purchase,21-06-2024,340,3157002,0.63%
Devyani International Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Block,Purchase,21-02-2024,164.1,5000000,0.41%
Kalyan Jewellers India Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Block,Purchase,08-02-2024,344.2,3063102,0.30%
Pricol Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,Purchase,18-12-2023,347,1440922,1.18%
Pricol Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Block,Purchase,18-12-2023,347,1440922,1.18%
Fusion Finance Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,BSE,Bulk,Purchase,14-12-2023,555.6,900000,0.89%
Fusion Finance Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,BSE,Block,Purchase,14-12-2023,555.6,900000,0.89%
Zomato Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,BSE,Block,Purchase,29-11-2023,112.7,1700000,0.02%
Tilaknagar Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Bulk,Sell,18-11-2024,338.65,1816625,0.94%
Tilaknagar Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,18-11-2024,338.65,1816625,0.94%
Tilaknagar Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,31-10-2024,287.8,400000,0.21%
Hindustan Oil Exploration Company Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,30-09-2024,230,714537,0.54%
Exxaro Tiles Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,24-09-2024,96.22,666366,1.49%
Positron Energy Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,18-09-2024,441.41,50400,0.66%
Kopran Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,13-09-2024,348.65,251971,0.52%
Thinkink Picturez Ltd.,BOFA SECURITIES EUROPE SA,BSE,Bulk,Sell,06-09-2024,5.11,1464835,0.31%
Baazar Style Retail Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,06-09-2024,412.42,525433,0.70%
Baazar Style Retail Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Sell,06-09-2024,399.29,10637,0.01%
Au Small Finance Bank Ltd.,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,26-08-2024,630,80003,0.01%
Au Small Finance Bank Ltd.,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,26-08-2024,630,79000,0.01%
Interarch Building Products Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,26-08-2024,1287.75,130000,0.78%
Shriram Finance Ltd.,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,19-08-2024,2981.5,296373,0.08%
Schaeffler India Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,16-08-2024,3955.6,233007,0.15%
Linde India Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,16-08-2024,7163.65,49806,0.06%
Shriram Finance Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,16-08-2024,2895.1,592746,0.16%
Reliance Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,13-08-2024,2920.3,1335717,0.01%
Reliance Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,13-08-2024,2920.3,1335717,0.01%
Manglam Infra & Engineering Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,02-08-2024,123.1,200000,1.14%
Manglam Infra & Engineering Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Sell,02-08-2024,112.81,12000,0.07%
Jyoti CNC Automation Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,29-07-2024,1123,260957,0.11%
Kellton Tech Solutions Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,15-07-2024,175.91,637919,0.65%
Delhivery Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,10-07-2024,388.45,296091,0.04%
Mankind Pharma Ltd.,BOFA SECURITIES EUROPE SA - ODI,NSE,Block,Purchase,10-07-2024,2082,72048,0.02%
Shivalic Power Control Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,01-07-2024,311,289200,1.20%
Shivalic Power Control Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Sell,01-07-2024,311,7200,0.03%
Grasim Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,26-06-2024,2546.5,1478700,0.22%
Grasim Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,26-06-2024,2546.5,1478700,0.22%
Grasim Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,25-06-2024,2517,1412397,0.21%
Grasim Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,25-06-2024,2517,1412397,0.21%
Dhani Services Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,25-06-2024,52.08,10000000,1.63%
Manappuram Finance Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,25-06-2024,194.5,3848759,0.45%
Ramkrishna Forgings Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,25-06-2024,920.75,3117544,1.72%
Tilaknagar Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,25-06-2024,255.45,3530800,1.83%
Equinox India Developments Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,20-06-2024,154.92,3437792,0.54%
Selan Exploration Technology Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,13-06-2024,731.15,98327,0.65%
Rulka Electricals Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,12-06-2024,465.81,34800,0.82%
Rulka Electricals Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,11-06-2024,417.26,21600,0.51%
GAIL (India) Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,06-06-2024,207,2280000,0.03%
GAIL (India) Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,06-06-2024,207,2280000,0.03%
Timken India Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,28-05-2024,3913.35,156000,0.21%
Cipla Ltd.,BOFA SECURITIES EUROPE SA - ODI,NSE,Block,Purchase,15-05-2024,1345,186000,0.02%
Emmforce Autotech Ltd.,BOFA SECURITIES EUROPE SA,BSE,Bulk,Purchase,09-05-2024,261.85,124800,0.61%
Fortis Healthcare Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,29-04-2024,441.45,314825,0.04%
Vinsys IT Services India Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,22-04-2024,363.84,82500,0.56%
Creative Graphics Solutions India Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Sell,15-04-2024,184.55,259200,1.07%
Axis Bank Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,09-04-2024,1071,3006000,0.10%
Creative Graphics Solutions India Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,09-04-2024,183.18,342400,1.41%
