stock,client_name,exchange,deal_type,action,date,avg_price,quantity,percentage_traded
Indian Hotels Company,GOVERNMENT OF SINGAPORE INVT CORPN PTE LTD A/C  C  ACCOUNT,NSE,Bulk,Purchase,30-11-2022,321.77,9474188,0.67%
TVS Motor Company,GOVERNMENT OF SINGAPORE INVT CORPN PTE LTD A/C  C  ACCOUNT,NSE,Bulk,Purchase,30-11-2022,1047.81,2469940,0.52%
Triveni Turbine,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,21-09-2022,226.7,4198226,1.32%
Triveni Turbine,GOVERNMENT OF SINGAPORE,NSE,Block,Purchase,21-09-2022,226.7,4198226,1.32%
Sona BLW Precision ,GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,18-08-2022,505,3068730,0.49%
Max Healthcare,GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,16-08-2022,353,51948594,5.34%
Max Healthcare,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,31-03-2022,340,10778183,1.11%
SBI Life Insurance,GOVERNMENT OF SINGAPORE,NSE,Block,Purchase,29-03-2022,1068.35,725075,0.07%
Aavas Financiers,GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,20-08-2021,2452.5,771124,0.97%
Aavas Financiers,GOVERNMENT OF SINGAPORE,BSE,Block,Purchase,20-08-2021,2452.5,636322,0.80%
Aavas Financiers,GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,18-08-2021,2449.92,2628652,3.32%
Cera Sanitaryware,GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,30-07-2021,4450.02,263899,2.05%
Max Financial,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,17-06-2021,1000,6013487,1.74%
Dhanuka Agritech,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,09-06-2021,853,1598220,3.55%
SBI Life Insurance,GOVERNMENT OF SINGAPORE,BSE,Block,Purchase,07-05-2021,960,3491029,0.35%
Hathway Cable & Datacom,GOVERNMENT OF SINGAPORE INVT CORPN PTE LTD A/C  C  ACCOUNT,NSE,Bulk,Purchase,27-04-2021,22.22,16022423,0.91%
SBI Life Insurance,GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,12-03-2021,915,16759530,1.67%
ICICI Prudential,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,22-06-2020,391.6,16430820,1.13%
Kotak Mahindra Bank,GOVERNMENT OF SINGAPORE INVESTMENT CORPORATION PTE LTD,BSE,Block,Purchase,02-06-2020,1240,1648031,0.02%
AU SF Bank,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,18-05-2020,414.6,1969686,0.26%
AU SF Bank,GOVERNMENT OF SINGAPORE,NSE,Block,Purchase,18-05-2020,414.6,1969686,0.26%
Ujjivan Financial,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,11-12-2019,342.31,620807,0.51%
Zee Entertainment,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,21-11-2019,304,28500000,2.97%
Zee Entertainment,GOVERNMENT OF SINGAPORE,NSE,Block,Purchase,21-11-2019,304,28500000,2.97%
Mercator,GOVERNMENT OF SINGAPORE,BSE,Bulk,Sell,30-09-2019,1.1,17336959,5.73%
DLF,GOVERNMENT OF SINGAPORE,NSE,Bulk,Sell,08-04-2019,191.01,67987184,2.75%
Kotak Mahindra Bank,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,15-11-2018,1130,9557522,0.10%
Kotak Mahindra Bank,GOVERNMENT OF SINGAPORE,NSE,Block,Purchase,15-11-2018,1130,9557522,0.10%
Kridhan Infra,GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,18-12-2017,92,895058,0.90%
Gayatri Projects,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,06-07-2017,150,8131218,1.75%
Gayatri Projects,GOVERNMENT OF SINGAPORE,NSE,Block,Purchase,06-07-2017,150,8131218,1.75%
Capital First,GOVERNMENT OF SINGAPORE INVT CORPN PTE LTD A/C C ACCOUNT,BSE,Bulk,Purchase,17-05-2017,725,8701476,8.78%
Mercator,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,13-10-2016,46.55,7355445,2.43%
Mercator,GOVERNMENT OF SINGAPORE,NSE,Block,Purchase,13-10-2016,46.55,7355445,2.43%
Mercator,GOVERNMENT OF SINGAPORE CORP PVT LTD A/C GOVT OF SINGAPORE C,NSE,Bulk,Purchase,06-10-2016,46.05,6085664,2.01%
Castrol,GOVERNMENT OF SINGAPORE A/C GOVERNMENT OF SINGAPORE C,BSE,Bulk,Purchase,19-05-2016,365,3522648,0.36%
Sun Pharmaceutical,GOVERNMENT OF SINGAPORE- C,NSE,Bulk,Purchase,21-04-2015,930.16,12619297,0.53%
CIE Automotive,GIC -  GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,21-01-2015,234.95,3000000,0.79%
CIE Automotive,GIC -  GOVERNMENT OF SINGAPORE,BSE,Block,Purchase,21-01-2015,234.95,3000000,0.79%
CIE Automotive,GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,19-01-2015,230.5,5000000,1.32%
CIE Automotive,GOVERNMENT OF SINGAPORE,BSE,Block,Purchase,19-01-2015,230.5,5000000,1.32%
Muthoot Finance,GOVERNMENT OF SINGAPORE A/C C,NSE,Bulk,Purchase,31-07-2014,172.5,3498931,0.87%
VST Industries,GOVERNMENT OF SINGAPORE,NSE,Bulk,Purchase,26-02-2014,1590,207841,0.12%
Phoenix Mills,GOVERNMENT OF SINGAPORE  C,NSE,Bulk,Purchase,04-02-2014,207,5138549,1.44%
Indiabulls,GOVERNMENT OF SINGAPORE INVT CORPN PTE LTD A\C C ACCOUNT,NSE,Bulk,Sell,19-09-2011,3.59,258512,0.01%
Aptus Value Housing,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,04-09-2025,328.85,60998550,12.18%
Aptus Value Housing,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,04-09-2025,329.42,19912764,3.98%
Aptus Value Housing,WESTBRIDGE CROSSOVER FUND LLC,NSE,Block,Sell,04-09-2025,328.85,60998550,12.18%
Aptus Value Housing,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,03-06-2025,307.54,61972875,12.37%
Aptus Value Housing,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,26-11-2024,320.39,3290044,0.66%
IndiaMART InterMESH,WESTBRIDGE CROSSOVER FUND LLC,BSE,Bulk,Sell,21-06-2024,2601,730000,1.21%
IndiaMART InterMESH,WESTBRIDGE CROSSOVER FUND LLC,BSE,Block,Sell,21-06-2024,2601,540000,0.90%
IndiaMART InterMESH,WESTBRIDGE CROSSOVER FUND LLC,BSE,Block,Sell,21-06-2024,2601,190000,0.32%
Aptus Value Housing,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,21-05-2024,294.15,24773019,4.95%
Greenpanel Industries,WESTBRIDGE CROSSOVER FUND LLC,BSE,Bulk,Sell,12-03-2021,175.16,3500000,2.85%
Greenply Industries,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,21-10-2020,75.03,3639875,2.91%
Ceat,WESTBRIDGE CROSSOVER FUND LLC,BSE,Bulk,Sell,31-08-2020,885,835958,2.07%
Ceat,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,27-08-2020,950,407419,1.01%
La Opala RG,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,11-08-2020,185,2299696,2.07%
Greenlam Industries,WESTBRIDGE CROSSOVER FUND LLC,BSE,Bulk,Sell,04-08-2020,585,1901342,0.75%
Indian Energy Exchange,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,26-05-2020,165,1865329,0.21%
Indian Energy Exchange,WESTBRIDGE CROSSOVER FUND LLC,BSE,Bulk,Sell,15-05-2020,160.5,2027764,0.23%
Indian Energy Exchange,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,15-05-2020,160.52,1705566,0.19%
La Opala RG,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,27-01-2020,190,1579023,1.42%
Kajaria Ceramics,WESTBRIDGE CROSSOVER FUND LLC,BSE,Bulk,Sell,27-09-2017,719.21,959265,0.60%
Kajaria Ceramics,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,27-09-2017,719.63,921689,0.58%
Kajaria Ceramics,WESTBRIDGE CROSSOVER FUND  LLC FDI,NSE,Bulk,Sell,20-09-2017,722.62,3575000,2.24%
Mayur Uniquoters,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,07-09-2017,360.02,2972000,6.84%
Kajaria Ceramics,WESTBRIDGE CROSSOVER FUND LLC FDI,BSE,Bulk,Sell,24-08-2017,670,800000,0.50%
Dr. Lal Pathlabs,WESTBRIDGE CROSSOVER FUND LLC,NSE,Bulk,Sell,17-03-2017,950.02,550100,0.33%
Dr. Lal Pathlabs,WESTBRIDGE CROSSOVER FUND LLC,BSE,Bulk,Sell,01-03-2017,950.27,1291920,0.77%
Gandhar Oil Refinery,SOCIETE GENERALE,NSE,Bulk,Purchase,24-07-2026,288.97,853281,0.87%
Gandhar Oil Refinery,SOCIETE GENERALE,NSE,Bulk,Purchase,23-07-2026,280.93,684241,0.70%
Dhabriya Polywood,ASHISH RAMESHCHANDRA KACHOLIA,BSE,Bulk,Sell,23-07-2026,387.04,576000,5.32%
Biocon,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Block,Purchase,14-07-2026,400,626000,0.04%
Emcure Pharma,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Bulk,Purchase,29-04-2026,1608.2,1800000,0.95%
Emcure Pharma,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Block,Purchase,29-04-2026,1608.2,1800000,0.95%
Zee Entertainment,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Bulk,Sell,20-03-2026,72.73,6098891,0.63%
Juniper Hotels,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,BSE,Bulk,Sell,02-12-2025,239.01,2292010,1.03%
Juniper Hotels,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Bulk,Sell,02-12-2025,239.02,2100000,0.94%
Sagility,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Bulk,Purchase,14-11-2025,47.6,37100000,0.79%
Aditya Birla Capital,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Block,Purchase,28-10-2025,308,3258225,0.12%
Aditya Birla Capital,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,BSE,Block,Purchase,28-10-2025,308,3258000,0.12%
Tanla Platforms,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Bulk,Purchase,19-09-2025,745.1,879213,0.65%
CarTrade Tech,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Bulk,Purchase,19-09-2025,2522.8,388859,0.80%
Aarti Pharmalabs,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Bulk,Purchase,19-09-2025,930.32,484643,0.53%
Kotak Mahindra Bank,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Block,Purchase,10-09-2025,1940.8,495441,0.00%
Clean Science,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,BSE,Bulk,Purchase,21-08-2025,1077.68,1462373,1.38%
Clean Science,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Bulk,Purchase,21-08-2025,1096.54,637627,0.60%
Home First Finance ,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Block,Purchase,11-08-2025,1190.5,400000,0.38%
One97 Communications,SOCIETE GENERALE,NSE,Block,Purchase,04-08-2026,1367.8,1086000,0.17%
Meesho,SOCIETE GENERALE,NSE,Block,Purchase,04-08-2026,186,11200000,0.24%
Gandhar Oil Refinery,SOCIETE GENERALE,NSE,Bulk,Sell,28-07-2026,241.88,522002,0.53%
One97 Communications,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Block,Purchase,04-08-2026,1367.8,470000,0.07%
Meesho,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Block,Purchase,04-08-2026,186,4209000,0.09%
Poonawalla Fincorp,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,04-08-2026,473.5,528000,0.06%
One97 Communications,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,04-08-2026,1367.8,545000,0.09%
One97 Communications,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,04-08-2026,1367.8,225000,0.04%
Meesho,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,04-08-2026,186,3958350,0.09%
Meesho,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,04-08-2026,186,1345000,0.03%
Sudeep Pharma,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,04-08-2026,850,1176472,1.04%
Sudeep Pharma,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Block,Purchase,04-08-2026,850,1176472,1.04%
Sapphire Foods,GOVERNMENT OF SINGAPORE,BSE,Bulk,Sell,30-07-2026,195.71,1895743,0.59%
CreditAccess Grameen,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,06-08-2026,1482,321000,0.20%
Indegene,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,06-08-2026,525,665048,0.28%
India Grid Trust,GOVERNMENT OF SINGAPORE,BSE,Bulk,Sell,05-08-2026,174.03,28735632,3.02%
India Grid Trust,GOVERNMENT OF SINGAPORE,BSE,Block,Sell,05-08-2026,174,5747126,0.60%
India Grid Trust,GOVERNMENT OF SINGAPORE,BSE,Block,Sell,05-08-2026,174,4225352,0.44%
India Grid Trust,GOVERNMENT OF SINGAPORE,BSE,Block,Sell,05-08-2026,174,1954023,0.21%
India Grid Trust,GOVERNMENT OF SINGAPORE,BSE,Block,Sell,05-08-2026,174,1645000,0.17%
Indegene,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Block,Purchase,06-08-2026,525,480000,0.20%
ideaForge Technology,SOCIETE GENERALE,NSE,Bulk,Purchase,04-05-2026,707.11,243895,0.49%
Bharti Airtel,SOCIETE GENERALE,BSE,Block,Sell,27-03-2026,1834.9,3338532,0.05%
Sammaan Capital,SOCIETE GENERALE,NSE,Bulk,Purchase,25-03-2026,149.92,5059027,0.44%
Home First Finance,SOCIETE GENERALE,NSE,Bulk,Purchase,26-02-2026,1190,840713,0.80%
Indiabulls,SOCIETE GENERALE,NSE,Bulk,Sell,30-01-2026,10.86,22216730,0.95%
Sammaan Capital,SOCIETE GENERALE,NSE,Bulk,Purchase,13-11-2025,176.97,8824271,0.76%
Sammaan Capital,SOCIETE GENERALE,NSE,Block,Purchase,13-11-2025,176.97,8824271,0.76%
Ather Energy,SOCIETE GENERALE,NSE,Block,Purchase,13-11-2025,622.35,994909,0.25%
RBL Bank,SOCIETE GENERALE,NSE,Bulk,Purchase,06-11-2025,320.65,3161221,0.20%
RBL Bank,SOCIETE GENERALE ODI,NSE,Block,Purchase,06-11-2025,320.65,3161221,0.20%
RBL Bank,SOCIETE GENERALE,NSE,Bulk,Purchase,08-10-2025,284,3322631,0.21%
JSW Dulux,SOCIETE GENERALE,NSE,Block,Purchase,24-09-2025,3358.8,29928,0.07%
Kotak Mahindra Bank,SOCIETE GENERALE - ODI,NSE,Block,Purchase,10-09-2025,1940.8,281301,0.00%
RBL Bank,SOCIETE GENERALE,NSE,Bulk,Purchase,28-08-2025,250.57,3278899,0.21%
RBL Bank,SOCIETE GENERALE,NSE,Bulk,Sell,28-08-2025,251.19,129454,0.01%
Swiggy,SOCIETE GENERALE,NSE,Bulk,Purchase,26-08-2025,426.52,125767,0.00%
Swiggy,SOCIETE GENERALE,NSE,Bulk,Sell,26-08-2025,429.97,14253674,0.52%
Sai Life Science,SOCIETE GENERALE,NSE,Bulk,Purchase,26-08-2025,871,1406922,0.66%
Indiabulls,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,30-01-2026,10.87,22216730,0.95%
RBL Bank,BOFA SECURITIES EUROPE SA,BSE,Bulk,Purchase,21-01-2026,296,6002451,0.39%
RBL Bank,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,21-01-2026,296,6000000,0.39%
RBL Bank,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,06-11-2025,320.65,1364428,0.09%
WeWork Management,BOFA SECURITIES EUROPE SA,NSE,Bulk,Sell,10-10-2025,643.17,947300,0.68%
Optiemus Infracom,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,06-10-2025,672.1,354060,0.39%
Kotak Mahindra Bank,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,10-09-2025,1940.8,138390,0.00%
One Mobikwik Systems,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,01-09-2025,243.61,500000,0.63%
Biocon,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,14-07-2026,400,626000,0.04%
Jio Financial ,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,14-05-2026,231.45,2675853,0.04%
Nazara Technologies,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,10-03-2026,239.8,2885000,0.75%
Nazara Technologies,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-03-2026,239.8,2885000,0.75%
Ather Energy,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,11-02-2026,710,602883,0.15%
Sammaan Capital,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Sell,13-11-2025,176.97,5082676,0.44%
Sammaan Capital,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Sell,13-11-2025,176.97,5082676,0.44%
Lloyds Metals & Energy,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Block,Purchase,12-11-2025,1305.2,352886,0.06%
WeWork Management,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Block,Purchase,12-11-2025,615.65,462454,0.33%
RBL Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,06-11-2025,320.65,1640859,0.11%
RBL Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,06-11-2025,320.65,1105722,0.07%
Aditya Birla Capital,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,28-10-2025,308,2256435,0.08%
Aditya Birla Capital,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,28-10-2025,308,1715526,0.06%
RBL Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,01-10-2025,274.44,3251200,0.21%
Kotak Mahindra Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,26-09-2025,2013.5,116911,0.00%
Shriram Finance,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,26-09-2025,612.7,533842,0.02%
JSW Dulux,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,24-09-2025,3358.8,29928,0.07%
Kotak Mahindra Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-09-2025,1940.8,1334524,0.01%
Kotak Mahindra Bank,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,NSE,Block,Purchase,10-09-2025,1940.8,890787,0.01%
Kotak Mahindra Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-09-2025,1940.8,117208,0.00%
Healthcare Global,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,10-09-2025,695,880000,0.59%
Healthcare Global,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-09-2025,695,880000,0.59%
Medi Assist Healthcare,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,12-08-2025,522.7,286371,0.38%
Medi Assist Healthcare,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,12-08-2025,522.7,191315,0.26%
Cigniti Technologies,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,24-07-2025,1591.46,165750,0.60%
Sai Life Science,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,20-06-2025,722,312210,0.15%
Waaree Energies,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Sell,14-05-2025,2690.1,60398,0.02%
Northern Arc Capital,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,12-05-2025,193,880000,0.54%
Concord Enviro Systems,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Sell,27-12-2024,827.51,110022,0.53%
Niyogin Fintech,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Bulk,Purchase,26-11-2024,55.65,671365,0.60%
PNB Housing Finance,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,NSE,Bulk,Purchase,13-11-2024,939.3,11971482,4.59%
PNB Housing Finance,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,13-11-2024,939.3,2250000,0.86%
HDFC Bank,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Block,Purchase,03-10-2024,1726.2,1750190,0.01%
Nuvama Wealth,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Bulk,Purchase,27-09-2024,6702.6,342129,0.19%
Nuvama Wealth,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,27-09-2024,6702.6,342129,0.19%
Nuvama Wealth,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,27-09-2024,6702.6,62439,0.03%
RBL Bank,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,NSE,Block,Sell,03-09-2024,227.79,928070,0.06%
KPI Green Energy,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,NSE,Block,Sell,03-09-2024,886.6,157157,0.08%
Medi Assist Healthcare,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,03-09-2024,611.7,163484,0.22%
AU SF Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,26-08-2024,630,1060001,0.14%
FSN E-Commerce,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,23-08-2024,208.3,1925000,0.07%
Alkem Laboratories,MORGAN STANLEY ASIA SINGAPORE PTE-ODI,NSE,Block,Purchase,22-08-2024,5732.15,98000,0.08%
Alkem Laboratories,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,22-08-2024,5732.15,35000,0.03%
PNB Housing Finance,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,21-08-2024,802.5,249281,0.10%
PNB Housing Finance,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,21-08-2024,802.5,124650,0.05%
Cyient DLM,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Bulk,Purchase,21-08-2024,764.4,3617250,4.56%
Cyient DLM,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Bulk,Purchase,21-08-2024,764.4,520471,0.66%
Nexus Select Trust,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,NSE,Bulk,Purchase,14-08-2024,137.85,3003,0.00%
Nexus Select Trust,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,NSE,Bulk,Sell,14-08-2024,138.33,7841479,0.52%
Nexus Select Trust,MORGAN STANLEY ASIA SINGAPORE PTE ODI,NSE,Bulk,Purchase,09-08-2024,138,27661841,1.83%
Nexus Select Trust,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,09-08-2024,138,12168660,0.80%
JTL Industries,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Bulk,Sell,29-07-2024,213,1100000,0.28%
JTL Industries,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Block,Sell,29-07-2024,213,1100000,0.28%
Jyoti CNC Automation,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,29-07-2024,1123,1377180,0.61%
Jyoti CNC Automation,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,29-07-2024,1123,1377180,0.61%
Jyoti CNC Automation,MORGAN STANLEY ASIA (SINGAPORE) PTE.,NSE,Block,Purchase,29-07-2024,1123,356188,0.16%
RBL Bank,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Bulk,Purchase,25-07-2024,228,12505200,0.81%
Eternal,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,16-07-2024,226.85,440998,0.00%
Delhivery,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,10-07-2024,388.45,1950001,0.26%
Mankind Pharma,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-07-2024,2082,336672,0.08%
Mankind Pharma,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-07-2024,2082,288626,0.07%
Mankind Pharma,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-07-2024,2082,48032,0.01%
Mankind Pharma,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-07-2024,2082,48031,0.01%
HCL Technologies,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,28-06-2024,1440.5,1031316,0.04%
Samhi Hotels,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Bulk,Purchase,28-06-2024,187.1,3092665,1.39%
Samhi Hotels,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,28-06-2024,187.1,3092665,1.39%
Stanley Lifestyles,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Bulk,Purchase,28-06-2024,478.87,350000,0.61%
CSB Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,27-06-2024,352.75,590831,0.34%
Hindustan Foods,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,26-06-2024,502,1070000,0.88%
Hindustan Foods,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,26-06-2024,502,1070000,0.88%
Alkem Laboratories,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,25-06-2024,4956,98495,0.08%
Aster DM Quality Care,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Bulk,Purchase,21-06-2024,340,6666030,1.29%
IndiaMART InterMESH,MORGAN STANLEY ASIA (SINGAPORE) PTE,BSE,Block,Purchase,21-06-2024,2601,190000,0.32%
PNB Housing Finance,MORGAN STANLEY ASIA SINGAPORE PTE - ODI,NSE,Bulk,Purchase,20-06-2024,785,2285810,0.88%
RateGain Travel,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,20-06-2024,745,134300,0.11%
RateGain Travel,MORGAN STANLEY ASIA SINGAPORE PTE.,NSE,Block,Purchase,20-06-2024,745,134300,0.11%
